text,MLS,MLT,MLC,C/S,VP/T,C/T,DC/C,DC/T,T/S,CT/T,CP/T,CP/C,CN/T,CN/C
01.txt,18.8517,15.7076,9.508,1.9827,2.215,1.652,0.351,0.5798,1.2002,0.4377,0.3267,0.1978,1.5431,0.934
02.txt,16.8601,15.2264,9.5574,1.7641,2.0422,1.5931,0.3203,0.5103,1.1073,0.3897,0.303,0.1902,1.6174,1.0152
03.txt,13.9869,12.4114,8.2829,1.6886,1.8376,1.4984,0.2715,0.4068,1.1269,0.3252,0.2138,0.1427,1.153,0.7695
04.txt,13.8388,12.0635,8.5268,1.623,1.7396,1.4148,0.2672,0.378,1.1472,0.3089,0.2216,0.1566,1.1514,0.8138
05.txt,14.1313,12.4112,8.1313,1.7379,1.8845,1.5264,0.273,0.4168,1.1386,0.3462,0.1945,0.1274,1.1325,0.742
06.txt,13.0963,11.5282,8.0149,1.634,1.7457,1.4383,0.2627,0.3778,1.136,0.3023,0.1813,0.126,1.0978,0.7632
07.txt,13.9402,12.5759,8.244,1.6909,1.8836,1.5255,0.2838,0.4329,1.1085,0.3297,0.2106,0.138,1.2031,0.7887
08.txt,13.6212,12.6174,8.6497,1.5748,1.7789,1.4587,0.2714,0.3958,1.0796,0.3112,0.234,0.1604,1.2578,0.8623
09.txt,13.2198,11.7713,8.0973,1.6326,1.8193,1.4537,0.2707,0.3935,1.1231,0.3139,0.2075,0.1428,1.073,0.7381
10.txt,14.4792,13.0997,8.6979,1.6647,1.9001,1.5061,0.2822,0.425,1.1053,0.3279,0.2275,0.151,1.2881,0.8553
11.txt,13.642,12.3374,8.6255,1.5816,1.7925,1.4303,0.2724,0.3896,1.1057,0.3084,0.1989,0.1391,1.2161,0.8502
12.txt,13.1267,12.0964,8.643,1.5188,1.7325,1.3996,0.2654,0.3715,1.0852,0.2889,0.1816,0.1298,1.2517,0.8943
13.txt,12.9458,11.8835,8.5092,1.5214,1.7455,1.3966,0.241,0.3366,1.0894,0.2731,0.1927,0.138,1.1932,0.8544
14.txt,13.7628,12.4034,8.5744,1.6051,1.8149,1.4466,0.2683,0.3881,1.1096,0.3156,0.2089,0.1444,1.2371,0.8552
15.txt,13.9228,12.3055,8.4803,1.6418,1.8205,1.4511,0.2621,0.3804,1.1314,0.3015,0.2163,0.1491,1.1482,0.7913
16.txt,13.7392,12.4974,8.9689,1.5319,1.7688,1.3934,0.2645,0.3686,1.0994,0.2936,0.2014,0.1445,1.2578,0.9027
17.txt,13.7396,12.6608,8.9257,1.5393,1.8019,1.4185,0.2718,0.3856,1.0852,0.3066,0.1882,0.1327,1.3672,0.9639
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,